X,Y,NROBARRIO,BARRIO,CODBA
-56.097589252828406,-34.772358653371853,32,MANGA TOLEDO CHICO,MT
-56.095056717172142,-34.775681066618326,32,MANGA TOLEDO CHICO,MT
-56.094419127123004,-34.776516177686112,32,MANGA TOLEDO CHICO,MT
-56.091242429987048,-34.778686029072439,32,MANGA TOLEDO CHICO,MT
-56.087895872848925,-34.778990224700365,32,MANGA TOLEDO CHICO,MT
-56.087509774046801,-34.779000009462081,32,MANGA TOLEDO CHICO,MT
-56.165689230194992,-34.733004937442026,58,COLON SURESTE ABAYUBA,CY
-56.166084092478101,-34.734171223498507,58,COLON SURESTE ABAYUBA,CY
-56.166148432765802,-34.734220631343135,58,COLON SURESTE ABAYUBA,CY
-56.167178893927428,-34.735006642398503,58,COLON SURESTE ABAYUBA,CY
-56.167648947801453,-34.735582299986,58,COLON SURESTE ABAYUBA,CY
-56.167963886442273,-34.736455832802619,58,COLON SURESTE ABAYUBA,CY
-56.168043228070594,-34.736676467770927,58,COLON SURESTE ABAYUBA,CY
-56.16773585560923,-34.737835595362554,58,COLON SURESTE ABAYUBA,CY
-56.168052742730829,-34.739119263964703,58,COLON SURESTE ABAYUBA,CY
-56.168523845939561,-34.739956323743236,58,COLON SURESTE ABAYUBA,CY
-56.168449710210218,-34.740984127888893,58,COLON SURESTE ABAYUBA,CY
-56.168844273747858,-34.742141389887905,58,COLON SURESTE ABAYUBA,CY
-56.169940727492751,-34.743364383972754,58,COLON SURESTE ABAYUBA,CY
-56.170722755019547,-34.74393919526532,58,COLON SURESTE ABAYUBA,CY
-56.1714292005584,-34.7451632186579,58,COLON SURESTE ABAYUBA,CY
-56.171353415676698,-34.745677224980739,58,COLON SURESTE ABAYUBA,CY
-56.17135568640785,-34.746254120524753,58,COLON SURESTE ABAYUBA,CY
-56.171120732681636,-34.747340947869915,58,COLON SURESTE ABAYUBA,CY
-56.171049336367219,-34.747670153320435,58,COLON SURESTE ABAYUBA,CY
-56.171053147283757,-34.74863915723715,58,COLON SURESTE ABAYUBA,CY
-56.171524832647215,-34.749602399386355,58,COLON SURESTE ABAYUBA,CY
-56.172072812024325,-34.750177828977343,58,COLON SURESTE ABAYUBA,CY
-56.17301216900303,-34.751076708527933,58,COLON SURESTE ABAYUBA,CY
-56.174260153385198,-34.751136436587885,58,COLON SURESTE ABAYUBA,CY
-56.175118913289936,-34.751327912553513,58,COLON SURESTE ABAYUBA,CY
-56.175432392662962,-34.751714667061016,58,COLON SURESTE ABAYUBA,CY
-56.175746378496164,-34.752227616428584,58,COLON SURESTE ABAYUBA,CY
-56.175825487382568,-34.752551908136446,58,COLON SURESTE ABAYUBA,CY
-56.175905423983515,-34.752997887546698,58,COLON SURESTE ABAYUBA,CY
-56.175828815186762,-34.753385701105643,58,COLON SURESTE ABAYUBA,CY
-56.176141783551273,-34.753641750922128,58,COLON SURESTE ABAYUBA,CY
-56.176611753619923,-34.754154273247373,58,COLON SURESTE ABAYUBA,CY
-56.177159633999693,-34.754603482525965,58,COLON SURESTE ABAYUBA,CY
-56.176458628871764,-34.754866802257716,58,COLON SURESTE ABAYUBA,CY
-56.176852072413375,-34.755699531505684,58,COLON SURESTE ABAYUBA,CY
-56.177632726961278,-34.755891202399134,58,COLON SURESTE ABAYUBA,CY
-56.178333755050211,-34.755632382906839,58,COLON SURESTE ABAYUBA,CY
-56.178802969437037,-34.755951096078121,58,COLON SURESTE ABAYUBA,CY
-56.179349750418858,-34.756206495803447,58,COLON SURESTE ABAYUBA,CY
